"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2017-07-09,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-10,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-11,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-12,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-13,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-14,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-15,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-16,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-17,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-18,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-19,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-20,71,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-21,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-22,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-23,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-24,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-25,64,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-26,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-27,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-28,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-29,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-30,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-07-31,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-01,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-02,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-03,45,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-04,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-05,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-06,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-07,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-08,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-09,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-10,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-11,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-12,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-13,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-14,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-15,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-16,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-17,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-18,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-19,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-20,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-21,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-22,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-23,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-24,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-25,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-26,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-27,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-28,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-29,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-30,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-08-31,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-01,26,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-02,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-03,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-04,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-05,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-06,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-08,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-09,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-10,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-11,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-12,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-13,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-14,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-15,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-16,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-17,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-18,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-19,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-20,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-21,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-22,46,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-23,50,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-24,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-25,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-26,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-27,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-28,97,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-29,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-09-30,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-01,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-03,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-04,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-05,42,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-06,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-07,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-08,14,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-09,20,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-10,18,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-11,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-12,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-13,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-14,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-15,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-16,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-17,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-18,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-19,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-20,49,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-21,48,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-22,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-24,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-25,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-26,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-27,43,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-28,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-29,19,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-30,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-10-31,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-01,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-02,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-03,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-04,18,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-05,18,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-06,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-09,12,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-10,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-11,33,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-12,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-13,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-14,29,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-15,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-16,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-17,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-18,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-19,26,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-20,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-21,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-22,39,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-23,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-24,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-25,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-26,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-27,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-28,41,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-29,47,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-11-30,44,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-01,40,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-02,22,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-03,38,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-04,36,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-05,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-06,28,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-07,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-08,23,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-09,25,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-10,27,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-11,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-12,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-13,35,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-14,34,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-15,19,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-16,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-17,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-18,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-19,37,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-20,21,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-21,26,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-22,30,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-23,24,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-24,19,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-25,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-26,32,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-27,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-12-28,31,"Blackstone","Ozone","Lee",35.4325,-79.2887
2017-03-01,34,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-02,40,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-03,41,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-04,43,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-05,50,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-06,41,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-07,33,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-08,44,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-09,49,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-10,44,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-11,39,"Bryson City","Ozone","Swain",35.434767,-83.442133
2017-03-12,37,"Bryson City","Ozone","Swain",35.434767,-83.442133
